Date,Datets,Confirmed Count,Confirmed New,Recovered Count,Recovered New,Deaths Count,Deaths New,Active Count
2020-03-13,1584072000,2,2,,,,,2
2020-03-14,1584158400,10,8,,,,,10
2020-03-15,1584244800,17,7,,,,,17
2020-03-16,1584331200,33,16,,,,,33
2020-03-17,1584417600,36,3,,,,,36
2020-03-18,1584504000,41,5,,,,,41
2020-03-19,1584590400,43,2,,,,,43
2020-03-20,1584676800,70,27,,,,,70
2020-03-21,1584763200,73,3,15,15,,,58
2020-03-22,1584849600,77,4,15,15,,,62
2020-03-23,1584936000,84,7,15,15,,,69
2020-03-24,1585022400,91,7,15,15,,,76
2020-03-25,1585108800,106,15,15,15,,,91
2020-03-26,1585195200,107,1,31,16,1,1,75
2020-03-27,1585281600,113,6,39,8,2,1,72
2020-03-28,1585368000,119,6,39,8,2,1,78
2020-03-29,1585454400,129,10,39,8,3,1,87
2020-03-30,1585540800,135,6,39,8,3,1,93
2020-03-31,1585627200,143,8,41,2,3,1,99
2020-04-01,1585713600,144,1,43,2,3,1,98
2020-04-02,1585800000,146,2,43,2,5,2,98
2020-04-03,1585886400,153,7,52,9,7,2,94
2020-04-04,1585972800,155,2,52,9,7,2,96
2020-04-05,1586059200,159,4,52,9,7,2,100
2020-04-06,1586145600,165,6,65,13,7,2,93
2020-04-07,1586232000,166,1,65,13,7,2,94
2020-04-08,1586318400,167,1,65,13,9,2,93
2020-04-09,1586404800,171,4,84,19,9,2,78
2020-04-10,1586491200,175,4,84,19,9,2,82
2020-04-11,1586577600,175,4,93,9,9,2,73
2020-04-12,1586664000,181,6,93,9,9,2,79
2020-04-13,1586750400,189,8,110,17,9,2,70
2020-04-14,1586836800,193,4,111,1,9,2,73
2020-04-15,1586923200,197,4,111,1,9,2,77
2020-04-16,1587009600,204,7,111,1,9,2,84
2020-04-17,1587096000,227,23,113,2,9,2,105
2020-04-18,1587182400,227,23,117,4,9,2,101
2020-04-19,1587268800,256,29,117,4,9,2,130
2020-04-20,1587355200,285,29,117,4,10,1,158
2020-04-21,1587441600,288,3,122,5,10,1,156
2020-04-22,1587528000,298,10,122,5,10,1,166
2020-04-23,1587614400,311,13,126,4,10,1,175
2020-04-24,1587700800,318,7,128,2,10,1,180
2020-04-25,1587787200,323,5,132,4,10,1,181
2020-04-26,1587873600,325,2,137,5,10,1,178
2020-04-27,1587960000,329,4,142,5,10,1,177
2020-04-28,1588046400,329,4,142,5,10,1,177
2020-04-29,1588132800,331,2,142,5,10,1,179
2020-04-30,1588219200,333,2,142,5,10,1,181
2020-05-01,1588305600,335,2,148,6,10,1,177
2020-05-02,1588392000,345,10,148,6,10,1,187
2020-05-03,1588478400,357,12,158,10,10,1,189
2020-05-04,1588564800,361,4,161,3,10,1,190
